Country,City,CO AQI Value,CO AQI Category
Russian Federation,Praskoveya,1,Good
Brazil,Presidente Dutra,1,Good
Italy,Priolo Gargallo,1,Good
Poland,Przasnysz,1,Good
France,Punaauia,0,Good
United States of America,Punta Gorda,1,Good
Germany,Puttlingen,1,Good
Belgium,Puurs,1,Good
Russian Federation,Pyatigorsk,1,Good
Egypt,Qalyub,3,Good
China,Qinzhou,2,Good
Netherlands,Raalte,1,Good
India,Radaur,3,Good
Pakistan,Radhan,1,Good
Republic of North Macedonia,Radovis,1,Good
France,Raismes,1,Good
India,Rajgir,3,Good
Italy,Ramacca,1,Good
United States of America,Phoenix,1,Good
India,Phulabani,2,Good
Poland,Piaseczno,1,Good
India,Pimpri,2,Good
Brazil,Pindobacu,0,Good
China,Pingyin,3,Good
Brazil,Pinheiral,5,Good
India,Piravam,1,Good
Colombia,Plato,1,Good
Romania,Poiana Mare,1,Good
Russian Federation,Polevskoy,1,Good
France,Pontarlier,1,Good
United States of America,Pontiac,2,Good
Indonesia,Pontianak,1,Good
Brazil,Porecatu,1,Good
Finland,Pori,1,Good
South Africa,Port Elizabeth,3,Good
United States of America,Port Neches,1,Good
United Kingdom of Great Britain and Northern Ireland,Port Talbot,1,Good
United States of America,Portales,1,Good
United States of America,Post Falls,1,Good
Brazil,Pouso Alegre,1,Good
China,Dalinghe,3,Good
Russian Federation,Dalnegorsk,0,Good
United Republic of Tanzania,Dar Es Salaam,1,Good
India,Darbhanga,3,Good
United States of America,Dayton,1,Good
Belgium,Deinze,1,Good
Egypt,Dekernes,2,Good
Haiti,Delmas,2,Good
United States of America,Deming,1,Good
United Kingdom of Great Britain and Northern Ireland,Denton,0,Good
United States of America,Destin,0,Good
Pakistan,Dhadar,1,Good
India,Dharmapuri,1,Good
Pakistan,Digri,1,Good
Somalia,Dinsor,0,Good
Philippines,Dipolog,1,Good
Latvia,Dobele,1,Good
United States of America,Grandville,1,Good
Netherlands,Grave,0,Good
United States of America,Green Valley,1,Good
United States of America,Greendale,2,Good
Poland,Grudziadz,0,Good
Colombia,Guamo,3,Good
Italy,Guardiagrele,2,Good
Chad,Guelengdeng,2,Good
United Kingdom of Great Britain and Northern Ireland,Guildford,1,Good
Philippines,Guiset,1,Good
Russian Federation,Gukovo,1,Good
United States of America,Havre De Grace,1,Good
United States of America,Hazelwood,2,Good
Germany,Heddesheim,1,Good
Germany,Heiligenhaus,1,Good
United Kingdom of Great Britain and Northern Ireland,Hemel Hempstead,1,Good
United States of America,Hicksville,2,Good
Brazil,Hidrolandia,1,Good
India,Gyanpur,2,Good
Germany,Haiger,1,Good
China,Hangzhou,5,Good
Germany,Harrislee,0,Good
United States of America,Harrison,1,Good
India,Harur,1,Good
Germany,Hasbergen,0,Good
France,Haubourdin,1,Good
United States of America,Taunton,1,Good
New Zealand,Tauranga,0,Good
Tunisia,Tawzar,1,Good
Viet Nam,Tay Ninh,0,Good
Iran (Islamic Republic of),Taybad,1,Good
Italy,Teano,1,Good
India,Tekkali,3,Good
Brazil,Teodoro Sampaio,1,Good
Mexico,Tepeaca,5,Good
Mexico,Tequila,1,Good
Italy,Teramo,1,Good
Viet Nam,Thai Nguyen,3,Good
China,Tianjin,4,Good
Indonesia,Tidore,0,Good
Romania,Timisoara,1,Good
Tunisia,Tinjah,1,Good
Philippines,Toboso,1,Good
Japan,Tokorozawa,1,Good
Mexico,Toluca,4,Good
Brazil,Itapissuma,0,Good
Brazil,Itarantim,1,Good
Brazil,Itumbiara,1,Good
Mexico,Ixtaczoquitlan,3,Good
El Salvador,Izalco,2,Good
United Republic of Tanzania,Izazi,1,Good
Russian Federation,Izberbash,1,Good
India,Jabalpur,1,Good
Brazil,Jaguaquara,0,Good
India,Jahanabad,4,Good
Bulgaria,Jambol,1,Good
Poland,Jarocin,1,Good
Philippines,Jasaan,1,Good
Nigeria,Ilobu,4,Good
Finland,Imatra,1,Good
Brazil,Indaial,2,Good
Philippines,Indang,0,Good
Brazil,Itagi,0,Good
Nigeria,Iseyin,3,Good
Mexico,Isla,2,Good
Brazil,Itaitinga,0,Good
Brazil,Itambe,0,Good
Brazil,Itapemirim,1,Good
South Sudan,Torit,1,Good
Guatemala,Totonicapan,2,Good
United States of America,Trenton,1,Good
United States of America,Trujillo Alto,0,Good
Ireland,Tullamore,1,Good
Turkey,Tunceli,0,Good
Viet Nam,Tuyen Quang,4,Good
United States of America,Two Rivers,1,Good
United States of America,Tysons Corner,2,Good
Russian Federation,Tyukalinsk,1,Good
India,Udupi,1,Good
India,Umaria,2,Good
United States of America,Willowbrook,4,Good
United States of America,Wilmette,2,Good
United States of America,Wolf Trap,2,Good
United States of America,Woodhaven,2,Good
China,Wulanhaote,2,Good
China,Xiangdong,2,Good
China,Xiaoweizhai,2,Good
China,Xushan,2,Good
Peru,Yanacancha,0,Good
China,Yancheng,3,Good
Democratic Republic of the Congo,Yangambi,4,Good
China,Yanggu,3,Good
China,Yangliuqing,4,Good
