Country,mean_val,max_val,median_val,n_records
Republic of Korea,27.0,27,27.0,1
South Africa,5.379310344827586,49,3.0,174
Democratic Republic of the Congo,5.285714285714286,51,2.0,70
Kingdom of Eswatini,4.666666666666667,9,3.0,3
Nigeria,3.8125,16,3.0,144
Chile,3.802469135802469,28,2.0,81
Rwanda,3.6153846153846154,7,3.0,13
China,3.4176100628930817,28,3.0,795
Angola,3.1481481481481484,23,1.0,27
Lesotho,2.8,6,2.0,5
Kuwait,2.6666666666666665,3,3.0,3
Uganda,2.6507936507936507,7,2.0,63
Burundi,2.6153846153846154,5,3.0,13
Congo,2.5833333333333335,7,2.0,12
El Salvador,2.5757575757575757,5,3.0,33
Nepal,2.4545454545454546,4,2.0,33
Bangladesh,2.4375,6,2.0,80
Indonesia,2.424802110817942,15,2.0,379
Viet Nam,2.3666666666666667,10,2.0,60
Kenya,2.3666666666666667,11,2.0,60
Guatemala,2.330578512396694,4,2.0,121
Cameroon,2.328125,5,2.0,64
Malaysia,2.232,67,1.0,125
Pakistan,2.0749185667752443,6,2.0,307
Bahrain,2.0,2,2.0,1
Central African Republic,2.0,3,2.0,30
Algeria,1.9166666666666667,10,1.0,12
Dominican Republic,1.8157894736842106,5,1.0,38
Panama,1.7777777777777777,4,2.0,27
Mexico,1.75,11,1.0,588
India,1.7435691318327975,12,1.0,2488
Haiti,1.7222222222222223,3,2.0,18
Colombia,1.704,4,1.0,250
Chad,1.5757575757575757,2,2.0,33
Israel,1.574468085106383,3,1.0,47
Benin,1.5555555555555556,3,1.0,27
Niger,1.5172413793103448,3,1.0,29
Gabon,1.5,3,1.5,10
Costa Rica,1.5,3,1.0,38
United States of America,1.456824512534819,133,1.0,2872
Egypt,1.425,3,1.0,40
Jordan,1.4166666666666667,3,1.0,12
Côte d'Ivoire,1.4029850746268657,4,1.0,67
Senegal,1.393939393939394,3,1.0,33
Oman,1.3333333333333333,2,1.5,6
United Arab Emirates,1.3333333333333333,2,1.0,3
Lebanon,1.3333333333333333,2,1.0,6
Togo,1.3157894736842106,2,1.0,19
Zimbabwe,1.2962962962962963,5,1.0,27
Ghana,1.293103448275862,4,1.0,58
