Country,City,NO2 AQI Value,NO2 AQI Category
Republic of Korea,Seoul,91,Moderate
Algeria,Algiers,69,Moderate
China,Chengdu,64,Moderate
Indonesia,Rangkasbitung,63,Moderate
China,Cholan,61,Moderate
China,Jiangdu,59,Moderate
Indonesia,Curug,59,Moderate
China,Yizheng,59,Moderate
China,Chongqing,58,Moderate
United States of America,Durango,53,Moderate
China,Xiaolingwei,52,Moderate
Indonesia,Leuwiliang,52,Moderate
Indonesia,Pandegelang,51,Moderate
Indonesia,Serpong,51,Moderate
China,Xiaoyi,51,Moderate
China,Yangshe,49,Good
Indonesia,Pasarkemis,49,Good
United States of America,Inglewood,48,Good
China,Xian,48,Good
China,Yuanli,48,Good
Brazil,Sao Vicente,47,Good
China,Shalu,47,Good
China,Nanlong,47,Good
China,Huilong,47,Good
United States of America,Huntington Park,46,Good
United States of America,Hawthorne,46,Good
Brazil,Suzano,46,Good
China,Lukang,44,Good
China,Xixiang,44,Good
China,Juegang,44,Good
India,Soron,43,Good
China,Maanshan,42,Good
China,Taoyuan,41,Good
United States of America,Lynwood,41,Good
United States of America,Bell Gardens,41,Good
United States of America,East Northport,41,Good
China,Zhifang,40,Good
United States of America,Hermosa Beach,40,Good
United States of America,Palos Verdes Estates,39,Good
China,Fengkou,39,Good
United States of America,Stratford,39,Good
China,Hsinying,39,Good
China,Dangtu,39,Good
United States of America,Downey,39,Good
United States of America,Commack,39,Good
Brazil,Guarulhos,39,Good
United States of America,Carson,38,Good
United States of America,South Pasadena,38,Good
United States of America,Rosemead,37,Good
United States of America,Cudahy,37,Good
