Country,mean_val,max_val,median_val,n_records
Republic of Korea,91.0,91,91.0,1
Kuwait,13.666666666666666,18,18.0,3
El Salvador,9.393939393939394,17,10.0,33
Algeria,9.333333333333334,69,1.0,12
Chile,8.592592592592593,36,7.0,81
United States of America,8.541434540389972,53,6.0,2872
China,7.09308176100629,64,3.0,795
Dominican Republic,6.973684210526316,17,6.0,38
Costa Rica,6.921052631578948,14,7.5,38
Guatemala,6.8429752066115705,15,7.0,121
South Africa,6.666666666666667,30,4.0,174
Israel,6.148936170212766,16,5.0,47
Panama,5.592592592592593,13,5.0,27
Mexico,4.9268707482993195,26,3.0,588
Singapore,4.0,4,4.0,1
Morocco,3.9473684210526314,15,3.0,19
Venezuela (Bolivarian Republic of),3.8666666666666667,18,3.0,90
Indonesia,3.741424802110818,63,1.0,379
Jordan,3.5833333333333335,8,3.0,12
Haiti,3.5555555555555554,12,3.0,18
Japan,3.511396011396011,26,2.0,702
Trinidad and Tobago,3.5,5,3.5,8
United Kingdom of Great Britain and Northern Ireland,3.4675,13,3.0,400
Colombia,3.396,13,3.0,250
Jamaica,3.3333333333333335,7,3.0,6
Kingdom of Eswatini,3.3333333333333335,6,3.0,3
United Arab Emirates,3.3333333333333335,4,3.0,3
Belgium,3.23943661971831,8,3.0,284
Australia,3.1176470588235294,20,1.0,85
Bangladesh,3.0375,15,2.0,80
Bahrain,3.0,3,3.0,1
Lesotho,2.8,7,2.0,5
France,2.6408977556109727,25,2.0,802
Ecuador,2.6363636363636362,9,2.0,66
Viet Nam,2.6333333333333333,22,1.0,60
Uzbekistan,2.603448275862069,16,1.0,58
Canada,2.5815602836879434,18,1.0,141
Egypt,2.575,9,2.0,40
Netherlands,2.5067114093959733,8,2.0,298
Lebanon,2.5,4,2.5,6
Italy,2.3513789581205313,16,2.0,979
Malaysia,2.336,25,0.0,125
Brazil,2.2720870678617158,47,1.0,1562
Nigeria,2.2708333333333335,14,1.0,144
Honduras,2.25,11,2.0,28
Greece,2.2115384615384617,17,0.0,104
Portugal,2.2091503267973858,8,2.0,153
Pakistan,2.0749185667752443,19,1.0,307
State of Palestine,2.0,2,2.0,1
Germany,1.9947955390334573,13,2.0,1345
