Country,City,Ozone AQI Value,Ozone AQI Category
Russian Federation,Praskoveya,36,Good
Brazil,Presidente Dutra,5,Good
Italy,Priolo Gargallo,39,Good
Poland,Przasnysz,34,Good
France,Punaauia,22,Good
United States of America,Punta Gorda,14,Good
Germany,Puttlingen,35,Good
Belgium,Puurs,29,Good
Russian Federation,Pyatigorsk,41,Good
Egypt,Qalyub,89,Moderate
China,Qinzhou,68,Moderate
Netherlands,Raalte,24,Good
India,Radaur,139,Unhealthy for Sensitive Groups
Pakistan,Radhan,50,Good
Republic of North Macedonia,Radovis,46,Good
France,Raismes,30,Good
India,Rajgir,100,Unhealthy for Sensitive Groups
Italy,Ramacca,47,Good
United States of America,Phoenix,4,Good
India,Phulabani,71,Moderate
Poland,Piaseczno,28,Good
India,Pimpri,30,Good
Brazil,Pindobacu,10,Good
China,Pingyin,95,Moderate
Brazil,Pinheiral,0,Good
India,Piravam,24,Good
Colombia,Plato,16,Good
Romania,Poiana Mare,37,Good
Russian Federation,Polevskoy,31,Good
France,Pontarlier,35,Good
United States of America,Pontiac,22,Good
Indonesia,Pontianak,15,Good
Brazil,Porecatu,9,Good
Finland,Pori,30,Good
South Africa,Port Elizabeth,18,Good
United States of America,Port Neches,19,Good
United Kingdom of Great Britain and Northern Ireland,Port Talbot,20,Good
United States of America,Portales,34,Good
United States of America,Post Falls,32,Good
Brazil,Pouso Alegre,7,Good
China,Dalinghe,64,Moderate
Russian Federation,Dalnegorsk,29,Good
United Republic of Tanzania,Dar Es Salaam,23,Good
India,Darbhanga,162,Unhealthy
United States of America,Dayton,32,Good
Belgium,Deinze,25,Good
Egypt,Dekernes,81,Moderate
Haiti,Delmas,15,Good
United States of America,Deming,26,Good
United Kingdom of Great Britain and Northern Ireland,Denton,32,Good
United States of America,Destin,31,Good
Pakistan,Dhadar,89,Moderate
India,Dharmapuri,31,Good
Pakistan,Digri,40,Good
Somalia,Dinsor,19,Good
Philippines,Dipolog,17,Good
Latvia,Dobele,34,Good
United States of America,Grandville,37,Good
Netherlands,Grave,32,Good
United States of America,Green Valley,14,Good
United States of America,Greendale,14,Good
Poland,Grudziadz,33,Good
Colombia,Guamo,3,Good
Italy,Guardiagrele,38,Good
Chad,Guelengdeng,16,Good
United Kingdom of Great Britain and Northern Ireland,Guildford,25,Good
Philippines,Guiset,26,Good
Russian Federation,Gukovo,38,Good
United States of America,Havre De Grace,30,Good
United States of America,Hazelwood,11,Good
Germany,Heddesheim,31,Good
Germany,Heiligenhaus,28,Good
United Kingdom of Great Britain and Northern Ireland,Hemel Hempstead,26,Good
United States of America,Hicksville,15,Good
Brazil,Hidrolandia,5,Good
India,Gyanpur,99,Moderate
Germany,Haiger,25,Good
China,Hangzhou,203,Very Unhealthy
Germany,Harrislee,32,Good
United States of America,Harrison,25,Good
India,Harur,26,Good
Germany,Hasbergen,34,Good
France,Haubourdin,28,Good
United States of America,Taunton,28,Good
New Zealand,Tauranga,19,Good
Tunisia,Tawzar,43,Good
Viet Nam,Tay Ninh,18,Good
Iran (Islamic Republic of),Taybad,43,Good
Italy,Teano,47,Good
India,Tekkali,82,Moderate
Brazil,Teodoro Sampaio,9,Good
Mexico,Tepeaca,2,Good
Mexico,Tequila,15,Good
Italy,Teramo,44,Good
Viet Nam,Thai Nguyen,150,Unhealthy
China,Tianjin,113,Unhealthy for Sensitive Groups
Indonesia,Tidore,13,Good
Romania,Timisoara,42,Good
Tunisia,Tinjah,48,Good
Philippines,Toboso,20,Good
Japan,Tokorozawa,44,Good
Mexico,Toluca,8,Good
Brazil,Itapissuma,23,Good
Brazil,Itarantim,7,Good
Brazil,Itumbiara,13,Good
Mexico,Ixtaczoquitlan,13,Good
El Salvador,Izalco,22,Good
United Republic of Tanzania,Izazi,15,Good
Russian Federation,Izberbash,38,Good
India,Jabalpur,38,Good
Brazil,Jaguaquara,9,Good
India,Jahanabad,168,Unhealthy
Bulgaria,Jambol,40,Good
Poland,Jarocin,27,Good
Philippines,Jasaan,32,Good
Nigeria,Ilobu,23,Good
Finland,Imatra,29,Good
Brazil,Indaial,2,Good
Philippines,Indang,24,Good
Brazil,Itagi,9,Good
Nigeria,Iseyin,18,Good
Mexico,Isla,26,Good
Brazil,Itaitinga,20,Good
Brazil,Itambe,8,Good
Brazil,Itapemirim,16,Good
South Sudan,Torit,12,Good
Guatemala,Totonicapan,7,Good
United States of America,Trenton,28,Good
United States of America,Trujillo Alto,23,Good
Ireland,Tullamore,26,Good
Turkey,Tunceli,35,Good
Viet Nam,Tuyen Quang,167,Unhealthy
United States of America,Two Rivers,27,Good
United States of America,Tysons Corner,25,Good
Russian Federation,Tyukalinsk,34,Good
India,Udupi,25,Good
India,Umaria,92,Moderate
United States of America,Willowbrook,3,Good
United States of America,Wilmette,9,Good
United States of America,Wolf Trap,27,Good
United States of America,Woodhaven,38,Good
China,Wulanhaote,47,Good
China,Xiangdong,25,Good
China,Xiaoweizhai,61,Moderate
China,Xushan,44,Good
Peru,Yanacancha,6,Good
China,Yancheng,155,Unhealthy
Democratic Republic of the Congo,Yangambi,24,Good
China,Yanggu,138,Unhealthy for Sensitive Groups
China,Yangliuqing,109,Unhealthy for Sensitive Groups
China,Yanji,48,Good
United States of America,Yankton,34,Good
Germany,Wenden,34,Good
United States of America,West Carrollton City,9,Good
Belgium,Wetteren,32,Good
Canada,Whitehorse,20,Good
Ireland,Wicklow,30,Good
Switzerland,Wil,27,Good
Germany,Wildeshausen,30,Good
United States of America,Williamsport,13,Good
United States of America,Fox Lake,18,Good
Brazil,Foz Do Iguacu,13,Good
Denmark,Frederikssund,36,Good
United States of America,Friendly,30,Good
Germany,Fuldatal,28,Good
Japan,Furano,26,Good
China,Fuzhou,168,Unhealthy
United Kingdom of Great Britain and Northern Ireland,Galashiels,25,Good
Germany,Gangelt,26,Good
Germany,Garbsen,33,Good
Cameroon,Garoua,12,Good
Somalia,Garowe,17,Good
Netherlands,Geertruidenberg,33,Good
Australia,Geraldton,29,Good
Germany,Germersheim,29,Good
Colombia,Girardot,9,Good
Russian Federation,Glubokiy,35,Good
United Kingdom of Great Britain and Northern Ireland,Golborne,30,Good
Portugal,Gondomar,27,Good
Russian Federation,Goryachevodskiy,39,Good
India,Govindgarh,45,Good
Côte d'Ivoire,Grand Lahou,25,Good
United States of America,Hoffman Estates,26,Good
Sweden,Hoganas,36,Good
United States of America,Holly Springs,42,Good
Germany,Holzminden,32,Good
China,Huaicheng,45,Good
Ethiopia,Huruta,23,Good
Nigeria,Idanre,24,Good
Italy,Iglesias,53,Moderate
Germany,Ihlow,30,Good
Japan,Iizuka,45,Good
Thailand,Sungai Kolok,34,Good
Indonesia,Sungaipenuh,13,Good
Russian Federation,Suvorovskaya,39,Good
Japan,Suzu,69,Moderate
Poland,Swiecie,33,Good
Hungary,Szeged,41,Good
Hungary,Szerencs,42,Good
Tunisia,Taburbah,49,Good
India,Tadepallegudem,65,Moderate
Iran (Islamic Republic of),Tafresh,125,Unhealthy for Sensitive Groups
Philippines,Tagaytay,25,Good
Japan,Tajimi,34,Good
Japan,Takahagi,47,Good
Japan,Takahashi,36,Good
India,Tal,39,Good
Philippines,Talacogon,19,Good
Russian Federation,Taldom,27,Good
Kazakhstan,Talgar,42,Good
United States of America,Tamiami,18,Good
Israel,Tamra,52,Moderate
Japan,Tanashi,43,Good
Romania,Tandarei,41,Good
Philippines,Tantangan,20,Good
Indonesia,Tarogong,53,Moderate
Turkey,Tatvan,45,Good
India,Yaval,38,Good
United Kingdom of Great Britain and Northern Ireland,Yeovil,24,Good
China,Yuanping,35,Good
China,Yuncheng,36,Good
Poland,Zambrow,35,Good
Poland,Zamosc,35,Good
Belgium,Zaventem,29,Good
Belgium,Zemst,27,Good
China,Zhaozhou,66,Moderate
China,Zhicheng,36,Good
China,Zhongshan,33,Good
China,Zhuji,45,Good
Mexico,Zimatlan,9,Good
Mexico,Zinacantepec,8,Good
Russian Federation,Zmeinogorsk,35,Good
Netherlands,Aalburg,30,Good
Spain,Abaran,21,Good
Italy,Abbiategrasso,37,Good
Côte d'Ivoire,Abidjan,15,Good
Mexico,Acuautla,9,Good
United States of America,Acworth,37,Good
United States of America,Adelphi,32,Good
India,Afzalgarh,198,Unhealthy
Nigeria,Agbor,13,Good
France,Aix En Provence,26,Good
Myanmar,Akyab,46,Good
United States of America,Alabaster,18,Good
Russian Federation,Alagir,36,Good
Belgium,Alken,25,Good
Canada,Alma,27,Good
Brazil,Almirante Tamandare,12,Good
Spain,Almoradi,23,Good
Papua New Guinea,Alotau,28,Good
Germany,Altotting,29,Good
Madagascar,Ambovombe,26,Good
China,Anqiu,107,Unhealthy for Sensitive Groups
Madagascar,Antalaha,22,Good
United States of America,Antioch,7,Good
Lithuania,Anyksciai,32,Good
Ghana,Apam,14,Good
Mexico,Apaseo El Grande,16,Good
Brazil,Aragarcas,3,Good
Russian Federation,Arkadak,28,Good
France,Armentieres,28,Good
Russian Federation,Arsk,28,Good
Azerbaijan,Artyom,35,Good
Armenia,Ashtarak,29,Good
Ethiopia,Asosa,14,Good
Iran (Islamic Republic of),Astaneh Ye Ashrafiyeh,37,Good
India,Atarra,44,Good
Guatemala,Atescatempa,5,Good
Italy,Atri,40,Good
Ukraine,Avdiyivka,41,Good
Portugal,Avintes,16,Good
Malaysia,Ayer Keroh,34,Good
United Kingdom of Great Britain and Northern Ireland,Ayr,29,Good
Netherlands,Baarn,34,Good
Serbia,Backa Palanka,41,Good
Germany,Bad Langensalza,30,Good
Pakistan,Bahawalnagar,38,Good
South Africa,Balfour,1,Good
South Africa,Ballitoville,5,Good
Thailand,Ban Phai,28,Good
Malaysia,Bandar Penggaram,39,Good
Philippines,Bangued,23,Good
Slovakia,Banovce,26,Good
Germany,Bargteheide,28,Good
United States of America,Bartlesville,23,Good
Gambia,Basse,18,Good
