Country,City,Ozone AQI Value,Ozone AQI Category
Iran (Islamic Republic of),Eslamshahr,235,Very Unhealthy
Iran (Islamic Republic of),Karaj,222,Very Unhealthy
Iran (Islamic Republic of),Qom,214,Very Unhealthy
Iran (Islamic Republic of),Robat Karim,210,Very Unhealthy
China,Jinan,210,Very Unhealthy
China,Dongkan,209,Very Unhealthy
Malaysia,Miri,209,Very Unhealthy
China,Jinsha,207,Very Unhealthy
Indonesia,Cikupa,207,Very Unhealthy
China,Zhangdian,207,Very Unhealthy
China,Shaping,207,Very Unhealthy
China,Haian,207,Very Unhealthy
China,Nantong,206,Very Unhealthy
China,Jiangyan,206,Very Unhealthy
China,Jingcheng,206,Very Unhealthy
China,Luqiao,206,Very Unhealthy
China,Taizhou,206,Very Unhealthy
Indonesia,Sawangan,205,Very Unhealthy
Indonesia,Sepatan,205,Very Unhealthy
China,Shizilu,205,Very Unhealthy
India,Kheri,205,Very Unhealthy
China,Ningbo,205,Very Unhealthy
China,Homei,204,Very Unhealthy
Pakistan,Chak Jhumra,204,Very Unhealthy
China,Linping,204,Very Unhealthy
Indonesia,Kresek,203,Very Unhealthy
China,Hangzhou,203,Very Unhealthy
China,Yanliang,203,Very Unhealthy
India,Thakurdwara,203,Very Unhealthy
China,Tounan,203,Very Unhealthy
Pakistan,Sanjwal,203,Very Unhealthy
China,Hede,203,Very Unhealthy
China,Touliu,203,Very Unhealthy
China,Xianyang,202,Very Unhealthy
China,Tsaotun,202,Very Unhealthy
China,Taichung,202,Very Unhealthy
China,Gaogou,202,Very Unhealthy
Pakistan,Nowshera,202,Very Unhealthy
Indonesia,Ciputat,202,Very Unhealthy
China,Nantou,202,Very Unhealthy
China,Shahe,202,Very Unhealthy
Unknown,Huangpu,202,Very Unhealthy
China,Talin,202,Very Unhealthy
China,Xuchang,202,Very Unhealthy
China,Heze,201,Very Unhealthy
China,Chushan,201,Very Unhealthy
China,Kangshan,201,Very Unhealthy
China,Chizhou,201,Very Unhealthy
China,Peikang,201,Very Unhealthy
Indonesia,Pamulang,201,Very Unhealthy
