Country,mean_val,max_val,median_val,n_records
United Arab Emirates,159.66666666666666,170,169.0,3
Qatar,139.0,164,139.0,2
Kuwait,135.66666666666666,159,124.0,3
Bahrain,127.0,127,127.0,1
Oman,97.83333333333333,155,101.5,6
Pakistan,89.14332247557003,204,76.0,307
China,88.31949685534592,210,72.0,795
State of Palestine,85.0,85,85.0,1
Saudi Arabia,77.07142857142857,138,68.5,14
Iraq,69.71428571428571,143,62.0,14
Egypt,68.075,139,64.0,40
Nepal,67.57575757575758,152,49.0,33
Iran (Islamic Republic of),61.754189944134076,235,46.0,179
Jordan,56.166666666666664,87,47.5,12
Monaco,56.0,56,56.0,1
Yemen,55.42857142857143,93,44.0,7
India,55.06149517684887,205,38.0,2488
Tunisia,53.04545454545455,103,47.5,44
Syrian Arab Republic,53.0,77,47.0,15
Cyprus,50.666666666666664,58,49.5,6
Malta,49.72727272727273,70,49.0,11
Uzbekistan,47.793103448275865,100,45.0,58
Israel,47.361702127659576,80,46.0,47
Algeria,47.166666666666664,117,40.0,12
Indonesia,46.56992084432718,207,34.0,379
Lebanon,46.5,49,46.5,6
Viet Nam,46.233333333333334,194,32.0,60
Bangladesh,46.2,133,41.0,80
Tajikistan,44.48275862068966,77,43.0,29
Italy,43.82124616956077,86,42.0,979
Greece,43.20192307692308,63,42.5,104
Republic of Moldova,43.07142857142857,55,43.5,28
Croatia,42.67741935483871,67,38.0,31
Turkmenistan,42.666666666666664,49,42.0,18
Libya,42.48,69,41.0,25
Albania,42.0625,49,42.0,32
Republic of North Macedonia,41.80434782608695,47,41.5,46
Hungary,40.901408450704224,69,38.0,142
Bulgaria,40.76923076923077,50,41.0,65
Slovenia,40.5625,57,42.5,16
Serbia,40.561797752808985,65,40.0,89
Turkey,40.54771784232365,82,40.0,241
Romania,40.25118483412322,63,40.0,211
Afghanistan,40.183673469387756,64,41.0,49
Slovakia,40.016129032258064,67,40.0,62
Japan,39.63390313390313,119,40.0,702
Kyrgyzstan,38.61538461538461,60,38.0,13
Cabo Verde,38.0,40,38.0,2
Luxembourg,38.0,50,38.0,2
Ukraine,37.945205479452056,52,38.0,219
