Country,City,PM2.5 AQI Value,PM2.5 AQI Category
India,Nilokheri,500,Hazardous
South Africa,Boksburg,500,Hazardous
India,Jewar,500,Hazardous
India,Gajraula,500,Hazardous
India,Gulaothi,500,Hazardous
India,Jansath,500,Hazardous
India,Tajpur,500,Hazardous
India,Sikandarabad,500,Hazardous
India,Gunnaur,500,Hazardous
India,Bhadra,500,Hazardous
India,Hastinapur,500,Hazardous
India,Bhadasar,500,Hazardous
India,Siwani,500,Hazardous
India,Bikaner,500,Hazardous
India,Kandhla,500,Hazardous
India,Sardulgarh,500,Hazardous
India,Faridabad,500,Hazardous
India,Hasanpur,500,Hazardous
India,Phalauda,500,Hazardous
India,Haldaur,500,Hazardous
United States of America,Durango,500,Hazardous
India,Moradabad,500,Hazardous
India,Nohar,500,Hazardous
India,Gohana,500,Hazardous
India,Jalalabad,500,Hazardous
India,Pokaran,500,Hazardous
India,Tikri,500,Hazardous
India,Pilkhuwa,500,Hazardous
India,Sisauli,500,Hazardous
India,Indri,500,Hazardous
India,Churu,500,Hazardous
India,Faridnagar,496,Hazardous
India,Barkhera,494,Hazardous
India,Jahangirpur,493,Hazardous
India,Niwari,492,Hazardous
India,Julana,490,Hazardous
India,Malaut,487,Hazardous
India,Puranpur,481,Hazardous
India,Dabwali,481,Hazardous
India,Bisalpur,480,Hazardous
India,Aonla,479,Hazardous
India,Bareli,478,Hazardous
India,Kakrala,478,Hazardous
India,Rajaldesar,477,Hazardous
India,Kasganj,476,Hazardous
India,Bagar,476,Hazardous
Russian Federation,Tynda,475,Hazardous
India,Ladnun,474,Hazardous
India,Suratgarh,474,Hazardous
India,Narauli,472,Hazardous
