Country,mean_val,max_val,median_val,n_records
Republic of Korea,415.0,415,415.0,1
Bahrain,188.0,188,188.0,1
Mauritania,179.0,224,167.5,4
Pakistan,173.11074918566774,466,167.0,307
Aruba,163.0,163,163.0,1
Kuwait,162.0,164,161.0,3
United Arab Emirates,152.66666666666666,156,152.0,3
Senegal,152.42424242424244,211,157.0,33
India,149.4630225080386,500,153.0,2488
Saudi Arabia,149.28571428571428,196,167.5,14
Qatar,147.5,151,147.5,2
Gambia,147.0,162,153.0,9
Yemen,144.57142857142858,179,151.0,7
Guinea-Bissau,138.75,195,125.5,4
Oman,134.83333333333334,159,146.0,6
Kingdom of Eswatini,119.33333333333333,169,114.0,3
Uzbekistan,118.08620689655173,242,119.5,58
Nepal,116.27272727272727,231,120.0,33
Tajikistan,115.20689655172414,156,120.0,29
Democratic Republic of the Congo,114.27142857142857,446,83.0,70
South Africa,113.04022988505747,500,91.5,174
Bangladesh,112.7875,222,99.5,80
China,111.70314465408805,386,106.0,795
Dominican Republic,108.07894736842105,160,104.0,38
Iraq,108.07142857142857,158,115.0,14
Iran (Islamic Republic of),105.23463687150839,178,101.0,179
Turkmenistan,104.72222222222223,163,110.0,18
Libya,102.6,191,96.0,25
Haiti,101.72222222222223,144,102.5,18
Nigeria,99.61111111111111,217,86.0,144
Eritrea,99.2,163,88.0,5
El Salvador,97.36363636363636,151,98.0,33
Afghanistan,95.91836734693878,198,87.0,49
Jordan,95.83333333333333,144,89.5,12
Egypt,95.75,166,80.5,40
Trinidad and Tobago,94.5,161,84.5,8
Rwanda,93.53846153846153,157,85.0,13
Singapore,91.0,91,91.0,1
Indonesia,90.83377308707124,297,74.0,379
Jamaica,90.66666666666667,125,104.0,6
Saint Kitts and Nevis,90.0,90,90.0,1
Lesotho,89.6,134,77.0,5
Mexico,89.29251700680273,384,68.0,588
Congo,87.58333333333333,155,80.0,12
Israel,87.40425531914893,143,82.0,47
Chile,87.06172839506173,358,61.0,81
State of Palestine,86.0,86,86.0,1
Uganda,85.31746031746032,180,74.0,63
Syrian Arab Republic,83.53333333333333,167,64.0,15
Mali,83.16,182,79.0,25
