Country,n_cities,n_records,mean_AQI,median_AQI,max_AQI,min_AQI,pct_bad_or_worse
Republic of Korea,1,1,421.0,421.0,421,421,100.0
Bahrain,1,1,188.0,188.0,188,188,100.0
Mauritania,4,4,179.0,167.5,224,157,100.0
Pakistan,307,307,178.78827361563518,169.0,500,59,86.64
United Arab Emirates,3,3,163.66666666666666,169.0,170,152,100.0
Aruba,1,1,163.0,163.0,163,163,100.0
Kuwait,3,3,162.0,161.0,164,161,100.0
Qatar,2,2,157.5,157.5,164,151,100.0
India,2488,2488,152.96422829581994,153.0,500,21,55.87
Senegal,33,33,152.42424242424244,157.0,211,29,72.73
Saudi Arabia,14,14,149.28571428571428,167.5,196,85,64.29
Gambia,9,9,147.0,153.0,162,111,77.78
Yemen,7,7,144.57142857142858,151.0,179,81,57.14
Guinea-Bissau,4,4,138.75,125.5,195,109,25.0
Oman,6,6,137.5,154.0,159,87,66.67
China,795,795,126.95345911949686,137.0,386,20,43.02
Kingdom of Eswatini,3,3,119.33333333333333,114.0,169,75,33.33
Uzbekistan,58,58,119.08620689655173,119.5,300,60,24.14
Nepal,33,33,116.36363636363636,120.0,231,34,27.27
Tajikistan,29,29,115.20689655172414,120.0,156,75,10.34
Democratic Republic of the Congo,70,70,114.81428571428572,83.0,481,30,24.29
Iraq,14,14,114.07142857142857,123.5,158,55,14.29
Bangladesh,80,80,113.4625,99.5,222,39,35.0
South Africa,174,174,113.04022988505747,91.5,500,18,31.03
Iran (Islamic Republic of),179,179,108.29608938547486,105.0,235,36,24.02
Dominican Republic,38,38,108.07894736842105,104.0,160,46,23.68
Libya,25,25,105.4,96.0,191,44,28.0
Turkmenistan,18,18,104.72222222222223,110.0,163,55,11.11
Haiti,18,18,101.72222222222223,102.5,144,74,0.0
Egypt,40,40,101.65,92.5,166,56,17.5
Nigeria,144,144,99.61111111111111,86.0,217,46,16.67
Eritrea,5,5,99.2,88.0,163,75,20.0
El Salvador,33,33,97.36363636363636,98.0,151,62,6.06
Jordan,12,12,96.83333333333333,89.5,144,68,0.0
Afghanistan,49,49,95.95918367346938,87.0,198,49,10.2
Trinidad and Tobago,8,8,94.5,84.5,161,59,12.5
Rwanda,13,13,93.53846153846153,85.0,157,56,15.38
Indonesia,379,379,93.03693931398416,74.0,297,10,23.48
Singapore,1,1,91.0,91.0,91,91,0.0
Jamaica,6,6,90.66666666666667,104.0,125,41,0.0
Saint Kitts and Nevis,1,1,90.0,90.0,90,90,0.0
Lesotho,5,5,89.6,77.0,134,55,0.0
Mexico,588,588,89.5374149659864,68.0,384,14,18.88
Algeria,12,12,88.16666666666667,82.5,164,36,16.67
Chile,81,81,87.85185185185185,61.0,358,14,23.46
Congo,12,12,87.58333333333333,80.0,155,60,8.33
Israel,46,46,87.40425531914893,82.0,143,44,0.0
Viet Nam,60,60,87.05,69.0,194,21,23.33
Syrian Arab Republic,15,15,86.93333333333334,72.0,167,56,20.0
State of Palestine,1,1,86.0,86.0,86,86,0.0
